"Step","Model_Name","Interaction_Removed","AIC","BIC","LogLik","p_value","Decision"
"0_Full","full_model","None",-13941.5288350645,-13568.5449029324,7026.76441753225,NA,"Starting_model"
"1","model_no_4way","4-way_interaction",-13948.7266704359,-13629.0261571798,7022.36333521794,0.359259151951196,"Remove_4way"
"2_Selected","model_step2","spacing_category:correct_num:correct_width",-13958.1399012218,-13691.7228068417,7019.0699506109,0.581800051981088,"Selected"
"3_Selected","model_step3","rm_type:spacing_category:correct_num",-13960.7910211049,-13721.0156361628,7016.39551055246,0.253335824102211,"Selected"
"4_Selected","model_step4","rm_type:spacing_category:correct_width",-13964.8077329202,-13751.6740574161,7014.40386646008,0.408272272566861,"Selected"
"5_Selected","model_step5","rm_type:correct_num:correct_width",-13967.2087988118,-13780.7168327458,7011.60439940591,0.231168997236278,"Selected"
"6_Selected","model_step6","rm_type:spacing_category",-13971.17681634,-13798.005704993,7011.58840817002,0.984135945094567,"Selected"
"7_Selected","model_step7","spacing_category:correct_num",-13976.6985020785,-13830.1691001695,7010.34925103927,0.648523125022861,"Selected"
"8_Selected","model_step8","rm_type:correct_width",-13978.7340331957,-13845.5254860057,7009.36701659785,0.374473424403989,"Selected"
"9_Selected","model_step9","rm_type:correct_num",-13980.0505162911,-13860.1628238201,7008.02525814557,0.261385630063024,"Selected"
"10_Selected","model_step10","correct_num:correct_width",-13979.8947870411,-13886.6488040081,7003.94739352055,0.0860373477183267,"Selected"
"11_Selected","model_step11","Keep_spacing_category:correct_width",-13979.8947870411,-13886.6488040081,7003.94739352055,0.00203708680280052,"Selected"
"Final","final_model","Complete_elimination",-13979.8947870411,-13886.6488040081,7003.94739352055,NA,"Final_selected"
