"contrast","spacing_category","correct_width","estimate","SE","df","z.ratio","p.value"
"NoRM - RM","Smaller","0.1",-0.0178787566018448,0.00635310582905776,Inf,-2.81417578785972,0.00489024785869705
"NoRM - RM","Middle","0.1",-0.0254226386372203,0.00633430534690043,Inf,-4.01348486454957,5.98288405101733e-05
"NoRM - RM","Larger","0.1",-0.02531269929773,0.00721231107673802,Inf,-3.50965162600536,0.000448694150343544
"NoRM - RM","Smaller","0.25",-0.0295497484455217,0.00603551736503191,Inf,-4.89597604618366,9.78189819901494e-07
"NoRM - RM","Middle","0.25",-0.0283186429393504,0.0068278215089655,Inf,-4.1475370880984,3.36071041342625e-05
"NoRM - RM","Larger","0.25",-0.0232257192163241,0.00762542636493175,Inf,-3.04582565023981,0.00232042346667218
"NoRM - RM","Smaller","0.4",-0.0283036673192494,0.00754480899900611,Inf,-3.75140938928711,0.000175843303409872
"NoRM - RM","Middle","0.4",-0.0241676595624381,0.00653038737787752,Inf,-3.70080029927612,0.000214920569980693
"NoRM - RM","Larger","0.4",-0.0282217145174792,0.00816512038350341,Inf,-3.45637457770954,0.000547493929292663
