"spacing_category","correct_num","correct_width","contrast","estimate","SE","df","z.ratio","p.value"
"Smaller","3","0.25","NoRM - RM",-0.0107600628419981,0.00639511653448858,Inf,-1.68254366968445,0.75749525948032
"Smaller","3","0.4","NoRM - RM",-0.0635713854845786,0.00635053270611895,Inf,-10.0104020286874,6.93889390390723e-14
"Middle","3","0.55","NoRM - RM",-0.0472181438486806,0.00673356556714596,Inf,-7.01235376381641,8.44003755773315e-11
"Smaller","4","0.25","NoRM - RM",-0.00769286717484489,0.00736927403689744,Inf,-1.04391112833194,0.981560282866817
"Smaller","4","0.4","NoRM - RM",-0.0444906191758527,0.00639859148051855,Inf,-6.95318951230297,1.28582811065314e-10
"Middle","4","0.55","NoRM - RM",-0.0448649568687672,0.00766264949302905,Inf,-5.85501880382005,1.71076605215426e-07
"Smaller","5","0.25","NoRM - RM",-0.0104796241359133,0.00715112638644475,Inf,-1.46545083523875,0.871599747831032
"Smaller","5","0.4","NoRM - RM",-0.0378789684420955,0.00654361649655608,Inf,-5.78869016269998,2.54304845292985e-07
"Middle","5","0.55","NoRM - RM",-0.0452593273434052,0.00739294688603674,Inf,-6.12196030095762,3.32060192675954e-08
