"variable","RM_condition","n","mean","sd","median","q25","q75","min","max"
"edge_to_edge_spacing_deviation","NoRM",3662,-0.0664,0.3411,0,-0.2,0.125,-1.7,1.75
"edge_to_edge_spacing_deviation","RM",2066,0.1541,0.3238,0.1,-0.0125,0.2833,-1.75,2.75
"pooled_width_deviation","NoRM",3662,-0.15,0.4053,-0.15,-0.4,0,-2.25,1.65
"pooled_width_deviation","RM",2066,-0.4247,0.4404,-0.4,-0.65,-0.2,-1.95,2
"spacing_deviation","NoRM",3662,-0.1062,0.3465,-0.05,-0.25,0.1,-1.9,1.85
"spacing_deviation","RM",2066,0.1482,0.3289,0.1,-0.025,0.3,-1.6,2.7
"spacing_deviation_relative","NoRM",3662,-0.0367,0.2899,-0.0556,-0.2222,0.1429,-0.8636,1.7857
"spacing_deviation_relative","RM",2066,0.1944,0.3517,0.1429,-0.0303,0.3636,-0.7273,2.2727
"width_density_deviation","NoRM",3662,-0.0187,0.1445,-0.0255,-0.104,0.061,-0.6479,0.6429
"width_density_deviation","RM",2066,-0.0414,0.1423,-0.0377,-0.1266,0.0415,-0.6356,0.7065
"width_deviation","NoRM",3662,-0.0398,0.1059,-0.05,-0.1,0,-0.45,0.55
"width_deviation","RM",2066,-0.0059,0.1247,0,-0.1,0.05,-0.4,0.9
"width_deviation_relative","NoRM",3662,-0.0916,0.2839,-0.125,-0.25,0,-1,2.2
"width_deviation_relative","RM",2066,-0.0089,0.3108,0,-0.2,0.1818,-0.8,1.6364
