"RM_condition","correct_num","correct_width","spacing_category","n"
"NoRM","3","0.25","Larger",446
"NoRM","3","0.25","Middle",83
"NoRM","3","0.25","Smaller",83
"NoRM","3","0.4","Larger",279
"NoRM","3","0.4","Middle",88
"NoRM","3","0.4","Smaller",89
"NoRM","3","0.55","Larger",369
"NoRM","3","0.55","Middle",80
"NoRM","3","0.55","Smaller",86
"NoRM","4","0.25","Larger",76
"NoRM","4","0.25","Middle",250
"NoRM","4","0.25","Smaller",239
"NoRM","4","0.4","Larger",82
"NoRM","4","0.4","Middle",79
"NoRM","4","0.4","Smaller",199
"NoRM","4","0.55","Larger",79
"NoRM","4","0.55","Middle",135
"NoRM","4","0.55","Smaller",122
"NoRM","5","0.25","Larger",51
"NoRM","5","0.25","Middle",151
"NoRM","5","0.25","Smaller",137
"NoRM","5","0.4","Larger",51
"NoRM","5","0.4","Middle",60
"NoRM","5","0.4","Smaller",129
"NoRM","5","0.55","Larger",54
"NoRM","5","0.55","Middle",96
"NoRM","5","0.55","Smaller",69
"RM","3","0.25","Larger",115
"RM","3","0.25","Middle",29
"RM","3","0.25","Smaller",29
"RM","3","0.4","Larger",65
"RM","3","0.4","Middle",25
"RM","3","0.4","Smaller",25
"RM","3","0.55","Larger",86
"RM","3","0.55","Middle",34
"RM","3","0.55","Smaller",30
"RM","4","0.25","Larger",29
"RM","4","0.25","Middle",84
"RM","4","0.25","Smaller",101
"RM","4","0.4","Larger",24
"RM","4","0.4","Middle",21
"RM","4","0.4","Smaller",125
"RM","4","0.55","Larger",26
"RM","4","0.55","Middle",82
"RM","4","0.55","Smaller",100
"RM","5","0.25","Larger",55
"RM","5","0.25","Middle",163
"RM","5","0.25","Smaller",192
"RM","5","0.4","Larger",56
"RM","5","0.4","Middle",50
"RM","5","0.4","Smaller",200
"RM","5","0.55","Larger",52
"RM","5","0.55","Middle",123
"RM","5","0.55","Smaller",145
