"contrast","spacing_category","correct_num","estimate","SE","df","z.ratio","p.value","lower.CL","upper.CL"
"NoRM - RM","Smaller","3",-0.131696118860621,0.035376007547704,Inf,-3.72275245257767,0.000197062709668026,-0.201031819570938,-0.0623604181503044
"NoRM - RM","Middle","3",-0.254237240232737,0.0350001654817073,Inf,-7.26388680549563,3.76122795156218e-13,-0.322836304029825,-0.185638176435649
"NoRM - RM","Larger","3",-0.655431220962114,0.0201830781113789,Inf,-32.4742944235346,2.45977807561069e-231,-0.694989327157575,-0.615873114766653
"NoRM - RM","Smaller","4",-0.137997723721473,0.0200419433487222,Inf,-6.88544625241002,5.76066618185127e-12,-0.177279210865161,-0.0987162365777855
"NoRM - RM","Middle","4",-0.127713300266799,0.0290996738486584,Inf,-4.38882239474609,1.13966091909863e-05,-0.184747612972032,-0.0706789875615667
"NoRM - RM","Larger","4",-0.132153314210175,0.0365295953870886,Inf,-3.61770539229363,0.000297226441708776,-0.203750005538689,-0.0605566228816608
"NoRM - RM","Smaller","5",-0.0901374366448797,0.0205300383793728,Inf,-4.39051476569296,1.13082635608834e-05,-0.130375572469675,-0.0498993008200838
"NoRM - RM","Middle","5",-0.122375120216498,0.0245945718574178,Inf,-4.97569630103522,6.50135109524303e-07,-0.17057959527222,-0.0741706451607773
"NoRM - RM","Larger","5",-0.182143718458871,0.0314497800393614,Inf,-5.79157368448703,6.97299546387818e-09,-0.243784154657726,-0.120503282260016
